"dota"
{
"DOTA_Accept"	"Hyväksy"
"DOTA_ActorCredits_22_Heroes"	"Oracle"
"DOTA_ActorCredits_23_Name"	"David Sobolov"
"DOTA_ActorCredits_23_Heroes"	"Terrorblade"
"DOTA_ActorCredits_24_Name"	"Jon St. John"
"DOTA_ActorCredits_25_Name"	"Fred Tatasciore"
"DOTA_ActorCredits_25_Extra"	"Warlockin Golem"
"DOTA_ActorCredits_26_Name"	"Jen Taylor"
"DOTA_ActorCredits_27_Name"	"Tony Todd"
"DOTA_ActorCredits_28_Name"	" "
"DOTA_ActorCredits_28_Heroes"	" "
"DOTA_PlayerContextMenu_Trade"	"Kutsu vaihtamaan"
"DOTA_WatchLive_Fullscreen"	"KOKORUUTU"
"DOTA_Chat_ChannelMemberCount"	"{d:channel_member_count}"
"DOTA_GiftWrap_Success"	"Lahjasi on toimitettu."
"DOTA_Previous"	"Edellinen"
"DOTA_Next"	"Seuraava"
"DOTA_Friends_Add_Friend_Tooltip"	"Lisää kaveri"
"DOTA_Treasure_Open"	"Avaa"
"DOTA_OpenTreasureTooltip_UnitName"	"{s:unit_name}"
}
