"dota"
{
"DOTA_Accept"	"承諾"
"DOTA_GiftWrap_ConfirmDedication_Message"	"本当にこのギフトに '{s:gift_dedication}'と添えたいですか？"
"DOTA_GiftWrap_Success_Header"	"成功"
"DOTA_GiftWrap_Success"	"ギフトが送信されました。"
"DOTA_GiftWrap_Error_RateLimitedNormal"	"{d:gift_limit_hours} 時間でギフト送信出来るのは {d:gift_limit_count} 個までです。このギフトが送信できるようになるまでお待ちください。"
"DOTA_GiftWrap_Error_RateLimitedCharge"	"あなたのバトルポイントレベルでは、 {d:gift_limit_hours} 時間でギフト送信できるトレード不可アイテムの数は {d:gift_limit_count} 個です。このギフトは現在送信できません。"
"DOTA_GiftWrap_Error_RateLimitedChargeNone"	"あなたのバトルポイントレベルではトレード不可のアイテムをギフト送信できません。このギフトは現在送信できません。"
"DOTA_Custom_Game_Sort_Most_Played"	"最も人気(今週)"
"DOTA_EquippedItem_AddToShuffle"	"シャッフルに追加"
"DOTA_EquippedItem_RemoveFromShuffle"	"シャッフルから削除"
"DOTA_ClientVersion"	"バージョン: <span class=\"VersionNumber\">{d:client_version_number}</span>"
"DOTA_GameplayVersion"	"ゲームプレイバージョン: <span class=\"VersionNumber\">{s:gameplay_version_number}</span>"
"DOTA_Recycling"	"リサイクル"
"DOTA_Recycling_Action"	"リサイクル"
"DOTA_Recycling_DragItems"	"不要なアイテムをここにドラック"
"DOTA_Recycling_Outputs"	"受け取る"
"DOTA_Recycling_Confirm"	"本当にこれらのアイテムをリサイクルしても良いですか？"
"DOTA_RecyclingCharm_Name"	"Charm of the Crucible Jewel II"
"DOTA_RecyclingCharm_Bonus"	"+25 Compendium コイン"
"DOTA_Previous"	"前へ"
"DOTA_Next"	"次へ"
"DOTA_Armory_ActiveFilter"	"{s:filter_field} {s:filter_op} {s:filter_value}"
"DOTA_Treasure_OpenQuantity"	"{d:owned_quantity}"
"DOTA_Treasure_AutographName"	"{s:treasure_autograph_name}"
"DOTA_OpenTreasureTooltip_ItemName"	" - {g:dota_item_name:item_def}"
"dota_profile_content_tab_official_info"	"プロ情報"
"dota_profile_oi_player_name"	"ディスプレイ名"
"dota_profile_oi_player_name_sub"	"世界中のプレイヤーが認識できる名前で、チーム或いはスポンサー等の所属情報を含むべきではありません。"
"dota_profile_oi_team"	"チーム"
"dota_profile_oi_team_sub"	"公認の Dota チームでプレイする場合、選択してください。チームのタグはあなたの名前の前に置かれます。"
"dota_profile_oi_sponsor"	"スポンサー"
"dota_profile_oi_sponsor_sub"	"スポンサー名はあなたの名前の後ろに置かれます。"
"dota_profile_oi_country"	"国"
"dota_profile_oi_role"	"役割"
"dota_profile_oi_role_sub"	"特定の役割をプレイする場合、選択してください。コアはキャリー、ミッド、オフレーンをプレイするプレイヤーを含みます。"
"dota_profile_oi_preview"	"あなたの名前はランキングとリーグゲームにおいてこのように表示されます:"
"dota_profile_oi_preview_warning"	"この情報の編集は2週間に一度しかできませんので、更新する前に正確性を確認してくださいね！"
"dota_profile_oi_submit_pending"	"提出中..."
"dota_profile_oi_submit_success"	"成功！"
"dota_profile_oi_submit_failure"	"エラー - もう一度お試しください。"
"dota_role_core"	"コア"
"dota_role_support"	"サポート"
"Compendium_GenerateFail"	"リソースファイル '{s:s1}'の生成に失敗しました。"
"Compendium_PreparePublish"	"公開準備"
"Compendium_PublishError"	"'{s:s2}'の Compendium ディレクトリ '{s:s1}' にコピーできませんでした。"
"Compendium_PublishFinishedTitle"	"公開に成功"
"Compendium_PublishFinished"	"コンパイルされたファイルはデータファイルディレクトリにコピーされました。\n\nリーグのウェブページにあなたの Compendium を提出すると全ての .vxml_c, .vtex_c, 及び.vcss_c ファイルをアップロードします。"
"DOTA_AHC_CurrentHeroAttempts"	"{s:current_hero_attempts} 回挑戦"
"DOTA_AHC_CurrentHeroAverageAttempts"	"{s:current_hero_average_attempts} 回挑戦"
"DOTA_AHC_TotalAttempts"	"合計挑戦回数"
"DOTA_AHC_TotalAttemptsValue"	"{d:challenge_total_attempts} ゲーム"
"DOTA_AHC_EquivalentWorldAverageValue"	"{d:challenge_average_total_attempts} ゲーム"
"DOTA_EffigyEditor_Model"	"ヒーロー"
"dota_profile_content_tab_all_hero_challenge"	"全-ヒーローチャレンジ"
"DOTA_tooltip_econ_item_delete_restriction"	"削除できません"
"Compendium_Downloading"	"Compendium をダウンロードしています..."
"Compendium_LevelupPts_Singular"	"1 ポイント"
"Compendium_LevelupPts_Plural"	"{d:next_comp_level} ポイント"
"DOTA_GlobalItems_MegaKill"	"メガキルパック"
"DOTA_Workshop_CursorPack_Intro"	"カーソルパックは、ゲーム内で使用できる代替カーソルをまとめたイメージのセットです。"
"DOTA_UI_LoadScreen_16_9"	"アスペクト比 16:9"
"DOTA_UI_LoadScreen_16_10"	"アスペクト比 16:10"
"DOTA_UI_LoadScreen_4_3"	"アスペクト比 4:3"
"DOTA_Workshop_Error_TextureNameB"	"次の接尾語と一致する .TGA ファイルが見つかりませんでした:\n %s1"
"DOTA_Skip"	"スキップ"
"DOTA_GlobalItems_CursorPacks"	"カーソルパック"
"DOTA_Popup_Item_Received_Header_CommunityMarketPurchase"	"アイテムの購入が完了しました！"
"DOTA_EventName_International2014"	"The International 2014"
"DOTA_EventName_International2015"	"The International 2015"
"DOTA_EventName_FallMajor2015"	"Fall 2015"
"dota_lobby_row_region"	"{s:region}"
"dota_lobby_browser_header_region"	"地域"
"dota_lobby_browser_all_regions"	"全地域"
"DOTA_Armory_Category_Event"	"Fall Compendium"
"DOTA_Armory_Category_CompendiumLevels"	"レベル"
"DOTA_Armory_Category_CompendiumCoins"	"コイン"
"dota_profile_recent_games_option_show_custom_games"	"カスタムゲームを表示"
"dota_profile_recent_games_option_show_ranked_mmr_change"	"ランキング MMR 変化を表示"
"dota_profile_recent_game_result_uncalibrated_ranked"	"キャリブレーション中"
"dota_profile_recent_game_result_win_ranked"	"{i:ranked_mmr} (+{i:ranked_mmr_delta})"
"dota_profile_recent_game_result_loss_ranked"	"{i:ranked_mmr} ({i:ranked_mmr_delta})"
"DOTA_tooltip_econ_item_gift_dedication"	"{s:gift_dedication}"
"DOTA_econ_item_details_original_name_label"	"元々の名前:"
"DOTA_econ_item_details_add_socket"	"ソケットを追加"
"DOTA_econ_item_details_add_gem"	"ジェムを追加"
"DOTA_econ_item_details_extract_gem"	"ジェムを取り出す"
"DOTA_econ_item_details_extract_gem_short"	"取り出す"
"DOTA_econ_item_details_reset_gem"	"リセット"
"DOTA_econ_item_details_gift_header"	"ギフト"
"DOTA_econ_item_details_gift_clear_gifter"	"ギフト送信者の名前をクリア"
"DOTA_Workshop_Animation_Spawn_Desc"	"ユニットの顔を少し上向きにすると、ゲームでの見下ろす視界における認識を高めます。"
"DOTA_Workshop_Animation_Idle_Desc"	"ユニットの顔を少し上向きにすると、ゲームでの見下ろす視界における認識を高めます。 肖像画と装着時の静止画は通常の角度で提出することができます。"
"DOTA_Workshop_Animation_IdleAlt_Desc"	"ユニットの顔を少し上向きにすると、ゲームでの見下ろす視界における認識を高めます。 肖像画と装着時の静止画は通常の角度で提出することができます。"
"DOTA_Workshop_Animation_IdleRare_Desc"	"ユニットの顔を少し上向きにすると、ゲームでの見下ろす視界における認識を高めます。 肖像画と装着時の静止画は通常の角度で提出することができます。"
"DOTA_Workshop_Animation_Run_Desc"	"ユニットの顔を少し上向きにすると、ゲームでの見下ろす視界における認識を高めます。"
"DOTA_Workshop_Animation_RunAlt_Desc"	"ユニットの顔を少し上向きにすると、ゲームでの見下ろす視界における認識を高めます。"
"DOTA_Workshop_Animation_RunRare_Desc"	"ユニットの顔を少し上向きにすると、ゲームでの見下ろす視界における認識を高めます。"
"DOTA_Workshop_Animation_RunHaste_Desc"	"ユニットの顔を少し上向きにすると、ゲームでの見下ろす視界における認識を高めます。"
"DOTA_Workshop_Animation_RunInjured_Desc"	"ユニットの顔を少し上向きにすると、ゲームでの見下ろす視界における認識を高めます。"
"DOTA_Workshop_SelectHero"	"ヒーロー選択"
"DOTA_Workshop_SelectSlot"	"スロット選択"
"DOTA_Workshop_NoSlots"	"使用可能なスロット無し"
"DOTA_Workshop_SelectHeroWearable"	"装着可能なアイテム"
"DOTA_Workshop_BrowseForImageFilter"	"画像"
"Compendium_TOC"	"目次"
}
