"lang"
{ 
	"Language" "korean" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"체력"					// $health
		"dota_ability_variable_mana"				"마나"						// $mana
		"dota_ability_variable_armor"				"방어력"						// $armor
		"dota_ability_variable_damage"				"피해"					// $damage
		"dota_ability_variable_str"					"힘"					// $str
		"dota_ability_variable_int"					"지능"				// $int
		"dota_ability_variable_agi"					"민첩"					// $agi
		"dota_ability_variable_all"					"모든 능력치"			// $all
		"dota_ability_variable_primary_attribute"	"주 능력치"			// $primary_attribute
		"dota_ability_variable_attack"				"공격 속도"				// $attack
		"dota_ability_variable_attack_pct"			"기본 공격 속도 백분율"	// $attack_pct
		"dota_ability_variable_hp_regen"			"체력 재생"		// $hp_regen
		"dota_ability_variable_lifesteal"			"흡혈"					// $lifesteal
		"dota_ability_variable_mana_regen"			"마나 재생"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"마나 재생의 오라"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"주문 피해"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"약화 효과 지속시간"			// $debuff_amp
		"dota_ability_variable_move_speed"			"이동 속도"			// $move_speed
		"dota_ability_variable_evasion"				"회피"					// $evasion
		"dota_ability_variable_spell_resist"		"마법 저항력"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"주문 흡혈"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_hero_attacks" "영웅 대상 공격"
		"dota_ability_variable_spell_lifesteal_hero_spells" "영웅 대상 능력"
		"dota_ability_variable_spell_lifesteal_creep_attacks" "크립 대상 공격"
		"dota_ability_variable_spell_lifesteal_creep_spells" "크립 대상 능력"
		"dota_ability_variable_lifesteal_hero_attacks" "영웅 대상 공격"
		"dota_ability_variable_lifesteal_hero_spells" "영웅 대상 능력"
		"dota_ability_variable_lifesteal_creep_attacks" "크립 대상 공격"
		"dota_ability_variable_lifesteal_creep_spells" "크립 대상 능력"
		"dota_ability_variable_selected_attrib"		"선택 능력치"		// $selected_attribute
		"dota_ability_variable_attack_range"		"공격 범위<font color='#7d7d7d'>(원거리만)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"공격 범위 <font color='#7d7d7d'>(근접만)</font>"	// $attack_range_melee
		"DOTA_Tooltip_ability_item_quelling_blade_Lore"							"쓰러진 난쟁이의 도끼로, 숲에서 효과적으로 길을 낼 수 있습니다."
		"DOTA_Tooltip_ability_item_quelling_blade_Note0"						"다수의 벌목 도끼 효과는 서로 중첩되지 않습니다."
		//"DOTA_Tooltip_ability_item_quelling_blade_damage_bonus"					"QUELL MELEE DAMAGE:"
		//"DOTA_Tooltip_ability_item_quelling_blade_damage_bonus_ranged"			"QUELL RANGED DAMAGE:"
		
		"DOTA_Tooltip_ability_item_radiance_Description"						"<h1>켜기/끄기: 화상</h1>활성화하면 주위 적에게 매초 마법 피해를 %aura_damage% 주고 공격의 %blind_pct%%%가 빗나가게 합니다. 환영에게는 피해를 %illusion_multiplier_pct%%% 줍니다. 환영은 매초 마법 피해를 %aura_damage_illusions% 줍니다.<br><br>반경: %aura_radius%"	
		"DOTA_Tooltip_ability_item_radiance_Lore"								"주위 적을 불태워 피해를 주는 성스러운 무기입니다."
		"DOTA_Tooltip_ability_item_radiance_bonus_damage"						"+$damage"		
		//"DOTA_Tooltip_ability_item_radiance_aura_damage"						"BURN DAMAGE PER SECOND:"	
		"DOTA_Tooltip_ability_item_radiance_evasion"							"%+$evasion"
		//"DOTA_Tooltip_ability_item_radiance_aura_radius"						"BURN RADIUS:"

		"DOTA_Tooltip_modifier_item_radiance_debuff"				"화상 피해"
		"DOTA_Tooltip_modifier_item_radiance_debuff_Description"	"매초 60의 피해 받음, %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% 공격 빗나감"

		"DOTA_Tooltip_ability_item_rapier_Description"							"<h1>켜기/끄기: 금 변환</h1> 켜고 끄면 %bonus_spell_amp%%%의 보너스 주문 증폭이나 %bonus_damage%의 보너스 공격력을 얻습니다.\n\n<h1>지속 효과: 영속성</h1> <font color='#e03e2e'>사망 시 바닥에 떨어지며 파괴할 수 없습니다.</font> <br><br>아군이 습득하면 사용할 수 없는 상태가 됩니다. 적군이 습득하면 바로 사용할 수 있습니다. 떨어뜨린 양날검은 짐꾼으로 주울 수 없습니다."
		"DOTA_Tooltip_ability_item_rapier_Note0"								"상대편이 떨어뜨린 신의 양날검을 획득한 경우, 죽기 전까지는 신의 양날검을 떨어뜨릴 수 없습니다."
		"DOTA_Tooltip_ability_item_rapier_Lore"									"너무 강력해서 한 명의 주인이 소유할 수 없습니다."
		"DOTA_Tooltip_ability_item_rapier_bonus_damage_base"							"+$damage"
		"Dota_Rapier_Attack_Tooltip"															"보너스 피해"
		"Dota_Rapier_Spell_Tooltip"																"보너스 주문 증폭"

		"DOTA_Tooltip_ability_item_caster_rapier_Description"							"<h1>지속 효과: 영속성</h1> <font color='#e03e2e'>사망 시 바닥에 떨어지며 파괴할 수 없습니다.</font> <br><br>아군이 습득하면 사용할 수 없는 상태가 됩니다. 적군이 습득하면 바로 사용할 수 있습니다. 떨어뜨린 양날검은 짐꾼으로 주울 수 없습니다."
		"DOTA_Tooltip_ability_item_caster_rapier_Note0"								"상대편이 떨어뜨린 시전자의 양날검을 획득했다면, 죽기 전까지는 신의 양날검을 떨어뜨릴 수 없습니다."
		"DOTA_Tooltip_ability_item_caster_rapier_Lore"									"시전자용 양날검 같습니다!"
		"DOTA_Tooltip_ability_item_caster_rapier_bonus_spell_amp"							"%+주문 증폭"
		"DOTA_Tooltip_ability_item_caster_rapier_bonus_cast_range"							"+$cast_range"

		

		"DOTA_Tooltip_ability_item_aeon_disk_Description"					"<h1>지속 효과: 연계 끊기</h1> 피해를 받고 체력이 %health_threshold_pct%%% 이하로 떨어지면, 강한 해제가 적용되며 %buff_duration%초 동안 강화 효과로 +%status_resistance%%%의 상태 저항력을 얻고 가하는 피해와 받는 피해가 모두 0이 됩니다. 플레이어가 가한 피해에만 발동합니다. 발동할 때마다 쿨다운이 증가합니다.<br/><br/>해제 유형: <span class=\"GameplayValues GameplayVariable\">강한 해제</span>"
		"DOTA_Tooltip_ability_item_aeon_disk_lore"					"이 강력한 공예품은 오래전에 상아 배양장에서 몰래 빼낸 것입니다. 말은 그렇다고들 합니다."
		"DOTA_Tooltip_ability_item_aeon_disk_bonus_health"					"+$health"
		"DOTA_Tooltip_ability_item_aeon_disk_bonus_mana"					"+$mana"		
		"DOTA_Tooltip_ability_item_aeon_disk_cooldown_duration"					"쿨다운:"		

		"DOTA_Tooltip_modifier_item_aeon_disk_buff"				"연계 끊기"
		"DOTA_Tooltip_modifier_item_aeon_disk_buff_Description"				"받는 피해와 주는 피해 모두 무효가 됨"

		"DOTA_Tooltip_ability_item_kaya_lore"					"명성 높은 마법사의 지팡이입니다. 헤아릴 수도 없이 오랜 세월 전에 사라졌던 것입니다."
		"DOTA_Tooltip_ability_item_kaya_note0"					"이 아이템 효과는 서로 중첩되지 않습니다."
		"DOTA_Tooltip_ability_item_kaya_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_kaya_spell_amp"						"%+주문 증폭"
		"DOTA_Tooltip_ability_item_kaya_mana_regen_multiplier"				"%+마나 재생 증폭"
		"DOTA_Tooltip_ability_item_kaya_spell_lifesteal_amp"				"%+주문 흡혈 증폭"

		
		"DOTA_Tooltip_ability_item_reaver_Lore"									"산을 통채로 찢어발길 수 있는 거대한 도끼입니다."
		"DOTA_Tooltip_ability_item_reaver_bonus_strength"						"+$str"
		
		"DOTA_Tooltip_ability_item_refresher_Description"						"<h1>시전 기술: 쿨다운 초기화</h1>모든 아이템과 기술의 쿨다운을 초기화합니다. 재생의 파편과 쿨다운을 공유합니다. 영웅의 가방 본 칸에서만 쿨다운이 진행됩니다."
		"DOTA_Tooltip_ability_item_refresher_Lore"								"마법사들을 위해 만들어진 강력한 계승물입니다."
		"DOTA_Tooltip_ability_item_refresher_bonus_health_regen"				"+$hp_regen"
		"DOTA_Tooltip_ability_item_refresher_bonus_mana_regen"					"+$mana_regen"
		"DOTA_Tooltip_ability_item_refresher_bonus_damage"						"+$damage"
		
		"DOTA_Tooltip_ability_item_relic_Lore"									"전세를 뒤집을 수 있는 고대의 무기입니다."
		"DOTA_Tooltip_ability_item_relic_bonus_damage"							"+$damage"
		
		"DOTA_Tooltip_ability_item_ring_of_basilius_Description"				"<h1>지속 효과: 바실리우스 오라</h1> 아군의 마나 재생력이 %aura_mana_regen% 증가합니다.<br><br>반경: %aura_radius%"
		"DOTA_Tooltip_ability_item_ring_of_basilius_Lore"						"가장 위대한 마법사들에게 선물로 주어지는 반지입니다."
		//"DOTA_Tooltip_ability_item_ring_of_basilius_bonus_all_stats"			"+$all"
		"DOTA_Tooltip_ability_item_ring_of_basilius_mana_regen"						"+$mana_regen"

		
		"DOTA_Tooltip_ability_item_holy_locket_Description"				"<h1>시전 기술: 에너지 충전</h1>아군 유닛 하나를 대상으로 지정하여 중첩된 충전 1회당 %restore_per_charge%의 체력과 마나를 즉시 회복시킵니다. <br><br>%AbilityChargeRestoreTime%초 마다 및 %charge_radius% 범위 안에 있는 비투명 상태의 적이 능력을 사용할 때마다 자동으로 1회 충전됩니다.\n\n<h1>지속 효과: 신성한 축복</h1>제공하는 치유량이 %heal_increase%%% 증폭됩니다."
		//"DOTA_Tooltip_ability_item_holy_locket_bonus_health"					"+$health"
		//"DOTA_Tooltip_ability_item_holy_locket_bonus_mana"					"+$mana"
		"DOTA_Tooltip_ability_item_holy_locket_bonus_all_stats"					"+$all"
		"DOTA_Tooltip_ability_item_holy_locket_use_cooldown"					"쿨다운:"
		"DOTA_Tooltip_ability_item_holy_locket_Lore"		"귀중한 유물입니다. 성스러운 전투에서 완전히 잃어버렸다고 여겨졌었습니다."

		"DOTA_Tooltip_modifier_item_holy_locket_aura"				"성스러운 금합 오라"
		"DOTA_Tooltip_modifier_item_holy_locket_aura_Description"	"초당 체력 %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% 회복 중"

		
		"DOTA_Tooltip_modifier_item_ring_of_basilius_effect"				"바실리우스의 반지 오라"
		"DOTA_Tooltip_modifier_item_ring_of_basilius_effect_Description"	"마나 재생 %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% 증가"

		
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura"				"네크로노미콘 마나 재생 오라"
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_Description"	"마나 재생 %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% 증가"

		
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_2"				"네크로노미콘 마나 재생 오라(2레벨)"
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_2_Description"	"마나 재생 %-2fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% 증가"

		
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_3"				"네크로노미콘 마나 재생 오라(3레벨)"
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_3_Description"	"마나 재생 %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% 증가"

		"DOTA_Tooltip_ability_item_ring_of_health_Lore"							"뚱뚱한 하플링의 시체 아래에서 발견하였으며 빛이 나는 반지입니다."
		"DOTA_Tooltip_ability_item_ring_of_health_bonus_health_regen"			"+$hp_regen"
		
		"DOTA_Tooltip_ability_item_ring_of_protection_Lore"						"착용자를 보호하며 반짝거리는 반지입니다."
		"DOTA_Tooltip_ability_item_ring_of_protection_bonus_armor"				"+$armor"
		
		"DOTA_Tooltip_ability_item_ring_of_regen_Lore"							"이 반지는 난쟁이들에게 행운의 부적으로 여겨집니다."
		"DOTA_Tooltip_ability_item_ring_of_regen_bonus_health_regen"			"+$hp_regen"
		
		"DOTA_Tooltip_ability_item_ring_of_tarrasque_Lore"			"의외로 단순한 피의 마법으로 벼려낸 영원의 반지입니다. 피의 마법은 당연히 그 핵심 요소의 근원이라고 여겨지는 것으로 증폭되어 있습니다."
		"DOTA_Tooltip_ability_item_ring_of_tarrasque_bonus_health_regen"			"+$hp_regen"
		"DOTA_Tooltip_ability_item_ring_of_tarrasque_bonus_health"				"+$health"
		
		"DOTA_Tooltip_ability_item_robe_Lore"									"이 로브는 착용자의 영혼을 타락시키고 지혜를 제공합니다."
		"DOTA_Tooltip_ability_item_robe_bonus_intellect"						"+$int"
		
		"DOTA_Tooltip_ability_item_rod_of_atos_Description"						"<h1>시전 기술: 마비</h1> 대상을 %duration%초 동안 묶어 움직이지 못하게 합니다."
		"DOTA_Tooltip_ability_item_rod_of_atos_Lore"							"부패의 군주 에이토스는 이 믿을 수 없을 정도로 단순한 지팡이에 그의 정수를 담았습니다."
		"DOTA_Tooltip_ability_item_rod_of_atos_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_rod_of_atos_bonus_hp"						"+$health"
		//"DOTA_Tooltip_ability_item_rod_of_atos_duration"						"CRIPPLE DURATION:"
		
		"DOTA_Tooltip_modifier_rod_of_atos_debuff"				"에이토스의 마법봉"
		"DOTA_Tooltip_modifier_rod_of_atos_debuff_Description"	"묶인 상태에서는 이동 불가"

		"DOTA_Tooltip_ability_item_sange_Lore"									"산화는 놀라울 정도로 정확한 무기로, 적의 약점을 스스로 찾아냅니다."
		"DOTA_Tooltip_ability_item_sange_bonus_strength"						"+$str"		
		"DOTA_Tooltip_ability_item_sange_slow_resistance"					"%+둔화 저항력"
		"DOTA_Tooltip_ability_item_sange_hp_regen_amp"							"%+체력 재생 및 흡혈 증폭"

		
		"DOTA_Tooltip_ability_item_kaya_and_sange_Lore"							"엄청난 힘이 담겼으며 잘 알려진 세 가지 무기 중 두 개입니다. 많은 이들이 같은 매혹술사의 용광로에서 만들어졌다고 생각합니다."
		"DOTA_Tooltip_ability_item_kaya_and_sange_bonus_damage"							"+$damage"
		"DOTA_Tooltip_ability_item_kaya_and_sange_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_kaya_and_sange_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_kaya_and_sange_spell_amp"					"%+주문 증폭"
		"DOTA_Tooltip_ability_item_kaya_and_sange_mana_regen_multiplier"				"%+마나 재생 증폭"
		"DOTA_Tooltip_ability_item_kaya_and_sange_slow_resistance"					"%+둔화 저항력"
		"DOTA_Tooltip_ability_item_kaya_and_sange_hp_regen_amp"							"%+체력 재생 및 흡혈 증폭"
		"DOTA_Tooltip_ability_item_kaya_and_sange_spell_lifesteal_amp"				"%+주문 흡혈 증폭"
		"DOTA_Tooltip_ability_item_kaya_and_sange_manacost_reduction"				"%+마나 소모/마나 손실 감소"

		
		"DOTA_Tooltip_ability_item_yasha_and_kaya_Lore"					"야차와 카야는 함께 짝을 이루면 자연의 울림을 공유합니다."
		"DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_yasha_and_kaya_spell_amp"					"%+주문 증폭"
		"DOTA_Tooltip_ability_item_yasha_and_kaya_mana_regen_multiplier"				"%+마나 재생 증폭"
		"DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_agility"							"+$agi"
		"DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_attack_speed"					"+$attack"
		"DOTA_Tooltip_ability_item_yasha_and_kaya_movement_speed_percent_bonus"			"%+$move_speed"
		"DOTA_Tooltip_ability_item_yasha_and_kaya_spell_lifesteal_amp"				"%+주문 흡혈 증폭"
		"DOTA_Tooltip_ability_item_yasha_and_kaya_cast_speed_pct"				"%+시전 속도 보너스"


		"DOTA_Tooltip_modifier_sange_buff"						"상해"
		"DOTA_Tooltip_modifier_sange_buff_Description"			"이동 속도 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 및 공격 속도 %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% 감소"

		"DOTA_Tooltip_ability_item_heavens_halberd_Description"							"<h1>시전 기술: 무장 해제</h1>대상으로 지정한 근접 영웅은 %disarm_melee%초 동안, 원거리 영웅은 %disarm_range%초 동안 공격 불능 상태에 빠집니다.\n\n<h1>지속 효과: 피해 방어</h1> %block_chance%%% 확률로 근접 영웅이 받는 공격 피해는 %block_damage_melee%, 원거리 영웅이 받는 공격 피해는 %block_damage_ranged%만큼 차단합니다."
		"DOTA_Tooltip_ability_item_heavens_halberd_Lore"								"소형 무기 못지 않게 빠른 속도로 휘두를 수 있는 미늘창입니다. 이 무기를 사용하면 거대 무기로 상대할 수 없는 싸움도 능히 이길 수 있습니다."
	
		"DOTA_Tooltip_ability_item_heavens_halberd_bonus_health"						"+$health"
		"DOTA_Tooltip_ability_item_heavens_halberd_bonus_health_regen"					"+$hp_regen"
		"DOTA_Tooltip_ability_item_heavens_halberd_bonus_all_stats"						"+$all"	

		"DOTA_Tooltip_modifier_heavens_halberd_buff"						"상해"
		"DOTA_Tooltip_modifier_heavens_halberd_buff_Description"			"이동 속도 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 및 공격 속도 %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% 감소"
		"DOTA_Tooltip_modifier_heavens_halberd_debuff"						"무장 해제"
		"DOTA_Tooltip_modifier_heavens_halberd_debuff_Description"			"천상의 미늘창에 공격 당함, 무장 해제됨"

		"DOTA_Tooltip_ability_item_sange_and_yasha_Note0"						"야차를 기본으로 하는 아이템의 이동 속도 보너스는 서로 중첩되지 않습니다."
		"DOTA_Tooltip_ability_item_sange_and_yasha_Lore"						"산화와 야차는 달빛과 조율되어 함께 사용하면 매우 강력한 조합을 이룹니다."
		"DOTA_Tooltip_ability_item_sange_and_yasha_bonus_strength"				"+$str"
		"DOTA_Tooltip_ability_item_sange_and_yasha_bonus_agility"				"+$agi"
		"DOTA_Tooltip_ability_item_sange_and_yasha_bonus_attack_speed"			"+$attack"
		"DOTA_Tooltip_ability_item_sange_and_yasha_movement_speed_percent_bonus"	"%+$move_speed"		
		"DOTA_Tooltip_ability_item_sange_and_yasha_status_resistance"					"%+상태 저항력"
		"DOTA_Tooltip_ability_item_sange_and_yasha_hp_regen_amp"							"%+체력 재생 및 흡혈 증폭"
		"DOTA_Tooltip_ability_item_sange_and_yasha_slow_resistance"							"%+둔화 저항력"
		
		"DOTA_Tooltip_modifier_sange_and_yasha_buff"			"상해"
		"DOTA_Tooltip_modifier_sange_and_yasha_buff_Description" "이동 속도 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 및 공격 속도 %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% 감소"

		"DOTA_Tooltip_ability_item_satanic_Description"							"<h1>시전 기술: 부정한 분노</h1>%unholy_duration%초 동안 흡혈 비율이 %unholy_lifesteal_total_tooltip%%%로 증가합니다.<br><br>해제 유형: <span class=\"GameplayValues GameplayVariable\">기본 해제</span> \n\n<h1>지속 효과: 흡혈</h1>가한 물리 피해의 일정 비율만큼 공격자를 치유합니다."
		"DOTA_Tooltip_ability_item_satanic_Lore"								"영혼을 바친 대가로 막강한 힘을 줍니다."
		"DOTA_Tooltip_ability_item_satanic_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_satanic_bonus_damage"						"+$damage"
		"DOTA_Tooltip_ability_item_satanic_lifesteal_percent"					"%+$lifesteal"
		//"DOTA_Tooltip_ability_item_satanic_unholy_lifesteal_total_tooltip"		"%UNHOLY RAGE LIFESTEAL:"
		//"DOTA_Tooltip_ability_item_satanic_unholy_duration"					    "UNHOLY RAGE DURATION:"

		"DOTA_Tooltip_modifier_item_satanic_unholy"				"부정한 분노"
		"DOTA_Tooltip_modifier_item_satanic_unholy_Description"			"흡혈 %dMODIFIER_PROPERTY_TOOLTIP%%% 증가"
		
		"DOTA_Tooltip_ability_item_sheepstick_Description"						"<h1>시전 기술: 주술</h1> %sheep_duration%초 동안 대상을 힘없는 동물로 바꿉니다. 바뀐 대상은 %sheep_movement_speed%의 기본 이동 속도로 움직이고 침묵에 걸리며 무효화 상태 및 무장 해제됩니다.<br>환영을 즉시 제거합니다."
		"DOTA_Tooltip_ability_item_sheepstick_Note0"							"주술에 걸린 대상은 이동 속도가 %sheep_movement_speed%으로 감소하지만, 최고 이동 속도를 부여하는 효과를 얻으면 이동 속도 감소 효과는 무효화됩니다."
		"DOTA_Tooltip_ability_item_sheepstick_Lore"								"바이스 교단이 가장 소중하게 지키는 유물이며, 마법사들이 가장 탐내는 유물이기도 합니다."
		"DOTA_Tooltip_ability_item_sheepstick_bonus_strength"					"+$str"
		"DOTA_Tooltip_ability_item_sheepstick_bonus_agility"					"+$agi"
		"DOTA_Tooltip_ability_item_sheepstick_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_sheepstick_bonus_mana_regen"					"+$mana_regen"
		"DOTA_Tooltip_ability_item_sheepstick_bonus_mana"                      "+$mana"
		"DOTA_Tooltip_ability_item_sheepstick_cast_range_bonus"                "+$cast_range"	      
		//"DOTA_Tooltip_ability_item_sheepstick_sheep_duration"					"HEX DURATION:"

		"DOTA_Tooltip_modifier_sheepstick_debuff"				"돼지 변이"
		"DOTA_Tooltip_modifier_sheepstick_debuff_Description"	"돼지로 변이됨, 공격 및 주문 시전 불가"

		"DOTA_Tooltip_ability_item_shivas_guard_Description"					"<h1>시전 기술: 극지의 돌풍</h1> 차가운 바람을 내뿜어 적이 %resist_debuff_duration%초 동안 주문 피해를 %spell_amp%%% 더 받게 하고, %blast_damage%의 마법 피해를 주며, %blast_debuff_duration%초 동안 이동 속도를 %blast_movement_speed%%% 느려지게 합니다. 환영에게는 피해를 %illusion_multiplier_pct%%% 줍니다.<br><br>반경: %blast_radius%\n\n<h1>지속 효과: 빙결의 오라</h1> 적 모두의 공격 속도를 %aura_attack_speed%, 모든 치유, 재생, 흡혈 효과를 %hp_regen_degen_aura%%% 감소시킵니다. <br><br>반경: %aura_radius%"
		"DOTA_Tooltip_ability_item_shivas_guard_Lore"							"여신의 것이었다고 전해지는 아이템입니다. 지금까지도 예전의 힘이 많이 남아 있습니다."
		"DOTA_Tooltip_ability_item_shivas_guard_Note0"							"돌풍의 속도는 %blast_speed%에서 시작해 %blast_radius%까지 빨라집니다."
		"DOTA_Tooltip_ability_item_shivas_guard_Note1"							"극지의 돌풍은 시전자를 따라다닙니다."
		"DOTA_Tooltip_ability_item_shivas_guard_Note2" 							"빙결의 오라는 서로 중첩되지 않습니다."
		"DOTA_Tooltip_ability_item_shivas_guard_bonus_intellect"				"+$int"
		"DOTA_Tooltip_ability_item_shivas_guard_bonus_agility"					"+$agi"
		"DOTA_Tooltip_ability_item_shivas_guard_bonus_strength"					"+$str"
		"DOTA_Tooltip_ability_item_shivas_guard_bonus_armor"					"+$armor"
		"DOTA_Tooltip_ability_item_shivas_guard_bonus_hp_regen"					"+$hp_regen"
		
		
		"DOTA_Tooltip_modifier_item_shivas_guard_aura"				"빙결의 오라"
		"DOTA_Tooltip_modifier_item_shivas_guard_aura_Description"	"공격 속도 %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% 및 재생 %dMODIFIER_PROPERTY_LIFESTEAL_AMPLIFY_PERCENTAGE%%% 감소"
		"DOTA_Tooltip_modifier_item_shivas_guard_blast"				"극지의 돌풍"
		"DOTA_Tooltip_modifier_item_shivas_guard_blast_Description"	"이동 속도 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 둔화"

		"DOTA_Tooltip_ability_item_skadi_Description"							"<h1>지속 효과: 냉기 공격</h1> 공격 시 적이 근접 유형이면 이동이 %cold_slow_melee%%%, 원거리 유형이면 %cold_slow_ranged%%% 느려지게 합니다. 또한, 공격 시 적의 공격 속도도 %cold_attack_slow_melee%%% 느려지게 합니다. 추가로 모든 치유량, 흡혈, 재생 효과를 %heal_reduction%%% 감소시킵니다. %cold_duration%초 동안 지속합니다."
		"DOTA_Tooltip_ability_item_skadi_Lore"									"극도로 희귀한 계승물이며, 하늘빛 용이 보호합니다."
		"DOTA_Tooltip_ability_item_skadi_bonus_all_stats"						"+$all"
		"DOTA_Tooltip_ability_item_skadi_bonus_health"							"+$health"
		"DOTA_Tooltip_ability_item_skadi_bonus_mana"							"+$mana"
		
		"DOTA_Tooltip_modifier_item_skadi_slow"					"스카디의 눈 냉기 공격"
		"DOTA_Tooltip_modifier_item_skadi_slow_Description"		"치유량, 체력 재생, 흡혈, 주문 흡혈 %dMODIFIER_PROPERTY_LIFESTEAL_AMPLIFY_PERCENTAGE%%%, 이동 속도 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, 공격 속도 %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% 감소"

		"DOTA_Tooltip_ability_item_slippers_Lore"								"거미 가죽으로 만들어진 가벼운 장화입니다. 따끔거리는 느낌이 있습니다."
		"DOTA_Tooltip_ability_item_slippers_bonus_agility"						"+$agi"
		
		"DOTA_Tooltip_ability_item_sobi_mask_Lore"								"마법사들과 흑마법사들이 다양한 의식을 치를 때 자주 사용하는 가면입니다."
		"DOTA_Tooltip_ability_item_sobi_mask_bonus_mana_regen"					"+$mana_regen"
				
		"DOTA_Tooltip_ability_item_soul_booster_Lore"					"잃어버린 용기가 되살아납니다."
		"DOTA_Tooltip_ability_item_soul_booster_bonus_health"					"+$health"
		"DOTA_Tooltip_ability_item_soul_booster_bonus_mana"						"+$mana"
		//"DOTA_Tooltip_ability_item_soul_booster_bonus_magical_armor"			"%+$spell_resist"		

		"DOTA_Tooltip_ability_item_soul_ring_Description"						"<h1>시전 기술: 희생</h1> %AbilityHealthCost%의 체력을 소모하여 일시적으로 %mana_gain%의 마나를 회복합니다. %duration%초 동안 지속합니다.<br><br>회복한 마나가 전체 마나량보다 많을 때는 완충량이 생성되어 본 마나량보다 먼저 소진합니다."
		"DOTA_Tooltip_ability_item_soul_ring_Lore"								"착용한 자의 영혼을 흡수하는 반지입니다."
		"DOTA_Tooltip_ability_item_soul_ring_Note0"								"지속시간이 다하기 전에 사용하지 않으면 추가로 획득한 마나는 소멸됩니다."
		"DOTA_Tooltip_ability_item_soul_ring_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_soul_ring_bonus_armor"					"+$armor"
		//"DOTA_Tooltip_ability_item_soul_ring_duration"								"SACRIFICE DURATION:"
		
		"DOTA_Tooltip_modifier_item_soul_ring_buff"				"희생"
		"DOTA_Tooltip_modifier_item_soul_ring_buff_Description"	"체력을 대가로 마나가 증가함, 효과의 지속시간이 끝나면 추가 마나가 사라짐"

		"DOTA_Tooltip_ability_item_staff_of_wizardry_Lore"						"원로 마법사들로부터 대대로 전해진 마력 깃든 지팡이입니다."
		"DOTA_Tooltip_ability_item_staff_of_wizardry_bonus_intellect"			"+$int"
				
		"DOTA_Tooltip_ability_item_stout_shield_Description"					"<h1>지속 효과: 피해 방어</h1> %block_chance%%%의 확률로 근접 영웅이 받는 피해를 %damage_block_melee%, 원거리 영웅이 받는 피해를 %damage_block_ranged% 방어합니다."
		"DOTA_Tooltip_ability_item_stout_shield_Lore"							"누군가에겐 술통 바닥이지만 또 누군가에겐 방패가 됩니다."
		"DOTA_Tooltip_ability_item_stout_shield_Note0"							"다수의 피해 방어 효과는 서로 중첩되지 않습니다."
"DOTA_Tooltip_ability_item_talisman_of_evasion_Note0"			"다른 회피 효과와 중첩 시 효율이 점차 감소합니다."
		"DOTA_Tooltip_ability_item_talisman_of_evasion_Lore"					"적의 공격을 예측할 수 있는 목걸이입니다."
		"DOTA_Tooltip_ability_item_talisman_of_evasion_bonus_evasion"			"%+$evasion"		
		
