"lang"
{ 
	"Language" "portuguese" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"de vida"					// $health
		"dota_ability_variable_mana"				"de mana"						// $mana
		"dota_ability_variable_armor"				"de armadura"						// $armor
		"dota_ability_variable_damage"				"de dano"					// $damage
		"dota_ability_variable_str"					"de Força"					// $str
		"dota_ability_variable_int"					"de Inteligência"				// $int
		"dota_ability_variable_agi"					"de Agilidade"					// $agi
		"dota_ability_variable_all"					"a todos os atributos"			// $all
		"dota_ability_variable_primary_attribute"	"ao atributo principal"			// $primary_attribute
		"dota_ability_variable_attack"				"de rapidez de ataque"				// $attack
		"dota_ability_variable_attack_pct"			"de rapidez de ataque base"	// $attack_pct
		"dota_ability_variable_hp_regen"			"de regeneração de vida"		// $hp_regen
		"dota_ability_variable_lifesteal"			"de roubo de vida"					// $lifesteal
		"dota_ability_variable_mana_regen"			"de regeneração de mana"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"de regeneração de mana (aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"de dano de feitiços"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"à duração de debuffs"			// $debuff_amp
		"dota_ability_variable_move_speed"			"de rapidez de movimento"			// $move_speed
		"dota_ability_variable_evasion"				"de evasão"					// $evasion
		"dota_ability_variable_spell_resist"		"de resistência a magia"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"de roubo de vida por habilidades"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"de roubo de vida por habilidades (creeps)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"de roubo de vida por habilidades (heróis)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"ao atributo selecionado"		// $selected_attribute
		"dota_ability_variable_attack_range"		"de alcance de ataque <font color='#7d7d7d'>(Só à distância)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"de alcance de ataque <font color='#7d7d7d'>(Só corpo a corpo)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"de alcance de uso"				// $cast_range
		"dota_ability_variable_status_resist"		"de resistência a debuffs"			// $status_resist
		"dota_ability_variable_projectile_speed"	"à rapidez dos projéteis"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"de redução dos custos de mana"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"de redução de cooldowns"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"de mana máxima"			// $max_mana_percentage
		"dota_ability_variable_slow_resistance"		"de resist. a abrandamentos"			// $slow_resistance
		"dota_ability_variable_aoe_bonus"			"de área de efeito adicional"					// $aoe_bonus


		"DOTA_Tooltip_ability_item_staff_of_wizardry_Lore"						"Um bastão de poderes mágicos herdado dos mais antigos magos."
		"DOTA_Tooltip_ability_item_staff_of_wizardry_bonus_intellect"			"+$int"
				
		"DOTA_Tooltip_ability_item_stout_shield_Description"					"<h1>Efeito passivo: Damage Block</h1>Proporciona ao portador uma probabilidade de %block_chance%%% de bloquear %damage_block_melee% de dano de ataques de heróis inimigos se o portador for um herói que ataca corpo a corpo (Melee), ou %damage_block_ranged% de dano se ataca à distância (Ranged)."
		"DOTA_Tooltip_ability_item_stout_shield_Lore"							"O fundo de um barril de vinho de um homem é o escudo de outro."
		"DOTA_Tooltip_ability_item_stout_shield_Note0"							"Várias fontes de bloqueio de dano não se acumulam."
"DOTA_Tooltip_ability_item_talisman_of_evasion_Note0"			"Acumula-se decrescentemente com outras fontes de evasão."
		"DOTA_Tooltip_ability_item_talisman_of_evasion_Lore"					"Um colar que permite antecipar os ataques dos inimigos."
		"DOTA_Tooltip_ability_item_talisman_of_evasion_bonus_evasion"			"%+$evasion"		
		
		"DOTA_Tooltip_ability_item_tango_Description"							"<h1>Uso: Devorar</h1> Consome uma árvore selecionada para ganhares %health_regen% de regeneração de vida durante %buff_duration% segundos. Consumir uma árvore proveniente de um Iron Branch duplica a quantidade da cura.<br><br>Possui %tooltip_charges% cargas. Usar este item num herói aliado irá dar-lhe um Tango.<br><br>Alcance de uso em árvores: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_tango_Lore"								"Alimenta-te para sobreviveres no campo de batalha."
		//"DOTA_Tooltip_ability_item_tango_Note0"								"Heals for double duration when used on a Ironwood Tree or Wards."
		//"DOTA_Tooltip_ability_item_tango_total_heal"							"EAT TREE HEALTH RESTORED:"
		//"DOTA_Tooltip_ability_item_tango_total_heal_ward_tooltip"		"EAT WARD HEALTH RESTORED:"
		//"DOTA_Tooltip_ability_item_tango_cast_range_ward"					"EAT WARD CAST RANGE:"
		//"DOTA_Tooltip_ability_item_tango_buff_duration"					"HEAL DURATION:"
		
		"DOTA_Tooltip_modifier_tango_heal"				"Tango"
		"DOTA_Tooltip_modifier_tango_heal_Description"			"A restaurar %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% de vida por segundo."

		"DOTA_Tooltip_ability_item_tango_single_Description"							"<h1>Uso: Devorar</h1> Consome uma árvore selecionada para ganhares %health_regen% de regeneração de vida durante %buff_duration% segundos. Consumir uma árvore proveniente de um Iron Branch duplica a quantidade da cura.<br><br>Alcance de uso em árvores: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_tango_single_Lore"								"Om nom nom."
		//"DOTA_Tooltip_ability_item_tango_single_Note0"								"Heals for double duration when used on a Ironwood Tree or Wards."
		//"DOTA_Tooltip_ability_item_tango_single_total_heal"							"EAT TREE HEALTH RESTORED:"
		//"DOTA_Tooltip_ability_item_tango_single_total_heal_ward_tooltip"		"EAT WARD HEALTH RESTORED:"
		//"DOTA_Tooltip_ability_item_tango_single_cast_range_ward"					"EAT WARD CAST RANGE:"
		//"DOTA_Tooltip_ability_item_tango_single_buff_duration"					"HEAL DURATION:"
		
		"DOTA_Tooltip_ability_item_tpscroll_Description"						"<h1>Uso: Teleport</h1>Após um período de concentração de %tooltip_channel_time% segundos, teletransporta-te para um edifício aliado selecionado. <br><br>Clica duas vezes para te teletransportares para a fonte da base da tua equipa."
		"DOTA_Tooltip_ability_item_tpscroll_Note0"						"O tempo de concentração aumenta para cada herói que se tentar teletransportar recentemente para o mesmo local."
		"DOTA_Tooltip_ability_item_tpscroll_Note1"						"O teletransporte pode ser impedido ou cancelado por habilidades que te prendam ao chão (root)."
		"DOTA_Tooltip_ability_item_tpscroll_Lore"						"Do que um herói realmente precisa."

		"DOTA_Tooltip_ability_item_tpscroll_2_Description"						"<h1>Uso: Teleport</h1>Após um período de concentração de %tooltip_channel_time% segundos, teletransporta-te para um edifício, unidade ou herói aliado selecionado. <br><br>Clica duas vezes para te teletransportares para a fonte da base da tua equipa."
		"DOTA_Tooltip_ability_item_tpscroll_2_Note0"						"O tempo de concentração aumenta para cada herói que se tentar teletransportar recentemente para o mesmo local."
		"DOTA_Tooltip_ability_item_tpscroll_2_Lore"						"Do que um herói realmente precisa mesmo."

		
		"DOTA_Tooltip_ability_item_tranquil_boots_Description"					"<h1>Efeito passivo: Break</h1> Quando atacas um herói ou és atacado por qualquer unidade, o bónus de %bonus_health_regen% de regeneração de vida perde-se e o bónus de rapidez de movimento é reduzido para %broken_movement_speed% durante %break_time% segundos.\nBónus de rapidez de movimento provenientes de vários pares de botas não se acumulam."
		"DOTA_Tooltip_ability_item_tranquil_boots_Lore"							"Embora aumentem a longevidade do utilizador, estas botas não são particularmente fiáveis."
		"DOTA_Tooltip_ability_item_tranquil_boots_bonus_movement_speed"			"+$move_speed"
		"DOTA_Tooltip_ability_item_tranquil_boots_bonus_health_regen"			"+$hp_regen"
		
		//"DOTA_Tooltip_modifier_item_tranquil_boots_heal"		"Tranquil Boots"
		//"DOTA_Tooltip_modifier_item_tranquil_boots_heal_Description"		"Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."

		"DOTA_Tooltip_ability_item_tranquil_boots2_Description"					"<h1>Efeito passivo: Break</h1> Quando atacas ou és atacado, o bónus de %bonus_health_health% de regeneração de vida perde-se e a tua rapidez de movimento é reduzida para %broken_movement_speed% durante %break_time% segundos."
		"DOTA_Tooltip_ability_item_tranquil_boots2_Lore"							"Embora aumentem a longevidade do utilizador, estas botas não são particularmente fiáveis."
		"DOTA_Tooltip_ability_item_tranquil_boots2_bonus_movement_speed"			"+$move_speed"
		"DOTA_Tooltip_ability_item_tranquil_boots2_bonus_armor"					"+$armor"
		"DOTA_Tooltip_ability_item_tranquil_boots2_bonus_health_regen"			"+$hp_regen"

		"DOTA_Tooltip_ability_item_travel_boots_Description"					"<h1>Melhora: Town Portal Scroll</h1>Melhora o teu Town Portal Scroll, permitindo que seja usado em unidades, reduzindo o cooldown e fazendo com que nenhuma carga seja consumida ao ser usado. \nBónus de rapidez de movimento provenientes de vários pares de botas não se acumulam."
		"DOTA_Tooltip_ability_item_travel_boots_Lore"							"Botas aladas que concedem omnipresença."
		//"DOTA_Tooltip_ability_item_travel_boots_Note0"							"Movement speed bonuses from boots do not stack."
		"DOTA_Tooltip_ability_item_travel_boots_bonus_movement_speed"			"+$move_speed"		
		"DOTA_Tooltip_ability_item_travel_boots_tp_cooldown"			"COOLDOWN (TOWN PORTAL SCROLL):"		

		"DOTA_Tooltip_modifier_boots_of_travel_incoming"				"Boots of Travel Teleport"
		"DOTA_Tooltip_modifier_boots_of_travel_incoming_Description"	"Um aliado está a teletransportar-se para a tua localização."
		"DOTA_Tooltip_modifier_boots_of_travel_recall"		"Boots of Travel"
		"DOTA_Tooltip_modifier_boots_of_travel_recall_Description"		"A teletransportar-se para um aliado."		

		"DOTA_Tooltip_ability_item_travel_boots_2_Description"					"<h1>Melhora: Town Portal Scroll</h1>Melhora o teu Town Portal Scroll, permitindo que seja usado em unidades e heróis. Reduz o cooldown e reduz o tempo de concentração. Faz com que nenhuma carga seja consumida ao ser usado. \nBónus de rapidez de movimento provenientes de vários pares de botas não se acumulam."
		"DOTA_Tooltip_ability_item_travel_boots_2_Lore"							"Botas aladas que concedem omnipresença."
		//"DOTA_Tooltip_ability_item_travel_boots_2_Note0"						"Movement speed bonuses from boots do not stack."
		"DOTA_Tooltip_ability_item_travel_boots_2_bonus_movement_speed"			"+$move_speed"		
		"DOTA_Tooltip_ability_item_travel_boots_2_tp_cooldown"			"COOLDOWN (TOWN PORTAL SCROLL):"		
		"DOTA_Tooltip_ability_item_travel_boots_2_tp_channel_time"		"CONCENTRAÇÃO (TOWN PORTAL SCROLL):"		
		
		"DOTA_Tooltip_ability_item_ultimate_orb_Lore"							"Uma esfera mística que contém a essência da vida."		
		"DOTA_Tooltip_ability_item_ultimate_orb_bonus_all_stats"				"+$all"
		
		
		"DOTA_Tooltip_modifier_item_aghanims_shard"		"Aghanim's Shard"
		"DOTA_Tooltip_modifier_item_aghanims_shard_Description"	"Aghanim's Shard."
		"DOTA_Tooltip_modifier_item_aghanims_shard_permanent_buff"		"Aghanim's Shard"
		"DOTA_Tooltip_modifier_item_aghanims_shard_permanent_buff_Description"	"Até um pequeno fragmento deste cristal mágico pode desvendar um potencial nunca antes visto."
		
		"DOTA_Tooltip_modifier_item_aghanims_shard_2"		"Aghanim's Shard"
		"DOTA_Tooltip_modifier_item_aghanims_shard_2_Description"	"Aghanim's Shard."

		"DOTA_Tooltip_ability_item_aghanims_shard_Description"				"<h1>Efeito passivo: Melhoramento</h1>Melhora uma das habilidades do teu herói ou adiciona uma nova."
		"DOTA_Tooltip_ability_item_aghanims_shard_Lore"				"De origens conhecidas apenas por um único feiticeiro, os fragmentos deste cristal impossível são quase tão cobiçados como o próprio famoso cetro."
		"DOTA_Tooltip_ability_item_aghanims_shard_bonus_all_stats"			"+$all"

		"DOTA_Tooltip_ability_item_aghanims_shard_roshan_Description"				"<h1>Efeito passivo: Melhoramento</h1>Melhora uma das habilidades do teu herói ou adiciona uma nova."
		"DOTA_Tooltip_ability_item_aghanims_shard_roshan_Lore"				"De origens conhecidas apenas por um único feiticeiro, os fragmentos deste cristal impossível são quase tão cobiçados como o próprio famoso cetro."
		"DOTA_Tooltip_ability_item_aghanims_shard_roshan_bonus_all_stats"			"+$all"
		
		"DOTA_Tooltip_ability_item_ultimate_scepter_Description"				"<h1>Efeito passivo: Melhoramento</h1>Melhora o Ultimate e/ou algumas habilidades de todos os heróis."
		"DOTA_Tooltip_ability_item_ultimate_scepter_Lore"						"O cetro de um feiticeiro com poderes dignos de um semideus."
		"DOTA_Tooltip_ability_item_ultimate_scepter_bonus_all_stats"			"+$all"
		"DOTA_Tooltip_ability_item_ultimate_scepter_bonus_health"				"+$health"
		"DOTA_Tooltip_ability_item_ultimate_scepter_bonus_mana"					"+$mana"
		
		"DOTA_Tooltip_ability_item_ultimate_scepter_2_Description"				"<h1>Efeito passivo: Melhoramento</h1>Melhora o Ultimate e/ou algumas habilidades de todos os heróis."
		"DOTA_Tooltip_ability_item_ultimate_scepter_2_Lore"						"O cetro de um feiticeiro com poderes dignos de um semideus."
		"DOTA_Tooltip_ability_item_ultimate_scepter_2_bonus_all_stats"			"+$all"
		"DOTA_Tooltip_ability_item_ultimate_scepter_2_bonus_health"				"+$health"
		"DOTA_Tooltip_ability_item_ultimate_scepter_2_bonus_mana"					"+$mana"
		
		"DOTA_Tooltip_ability_item_ultimate_scepter_roshan_Description"				"<h1>Efeito passivo: Melhoramento</h1>Melhora o Ultimate e/ou algumas habilidades de todos os heróis."
		"DOTA_Tooltip_ability_item_ultimate_scepter_roshan_Lore"						"O cetro de um feiticeiro com poderes dignos de um semideus."
		
		"DOTA_Tooltip_ability_item_urn_of_shadows_Description"					"<h1>Habilidade ativa: Soul Release</h1> Proporciona %soul_heal_amount% de regeneração de vida quando usada em aliados, e causa %soul_damage_amount% de dano por segundo quando usada em inimigos.<br><br>Dura %duration% segundos.<br><br>Ganha cargas sempre que um herói inimigo morrer dentro de um raio de %soul_radius% unidades. Apenas a Urn of Shadows mais próxima do herói morto ganhará uma carga. " 
		"DOTA_Tooltip_ability_item_urn_of_shadows_Note0"					"Urnas vazias ganham 2 cargas."
		"DOTA_Tooltip_ability_item_urn_of_shadows_Note1"					"Se for usado num herói já sob o efeito de Soul Release, reinicia a sua duração."
		"DOTA_Tooltip_ability_item_urn_of_shadows_Note2"					"Não é afetado por efeitos que bloqueiam ou refletem habilidades."
		"DOTA_Tooltip_ability_item_urn_of_shadows_Lore"							"Contém as cinzas de poderosos demónios."
		"DOTA_Tooltip_ability_item_urn_of_shadows_bonus_health"					"+$health"
		"DOTA_Tooltip_ability_item_urn_of_shadows_mana_regen"					"+$mana_regen"
		"DOTA_Tooltip_ability_item_urn_of_shadows_bonus_armor"					"+$armor"
		"DOTA_Tooltip_ability_item_urn_of_shadows_bonus_all_stats"				"+$all"
		//"DOTA_Tooltip_ability_item_urn_of_shadows_soul_heal_amount"				"RELEASE ALLY TOTAL HEAL:"
		//"DOTA_Tooltip_ability_item_urn_of_shadows_soul_damage_amount"				"RELEASE ENEMY TOTAL DAMAGE:"
		//"DOTA_Tooltip_ability_item_urn_of_shadows_soul_heal_duration"				"SOUL RELEASE DURATION:"
		
		"DOTA_Tooltip_modifier_item_urn_heal"					"Soul Release"
		"DOTA_Tooltip_modifier_item_urn_heal_Description"		"A regenerar %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% de vida por segundo."
		"DOTA_Tooltip_modifier_item_urn_damage"					"Soul Release"
		"DOTA_Tooltip_modifier_item_urn_damage_Description"		"A sofrer %dMODIFIER_PROPERTY_TOOLTIP% de dano por segundo."

		"DOTA_Tooltip_ability_item_vanguard_Description"						"<h1>Efeito passivo: Damage Block</h1>Proporciona ao portador uma probabilidade de %block_chance%%% de bloquear %block_damage_melee% de dano de heróis inimigos se o portador for um herói que ataca corpo a corpo (Melee), ou %block_damage_ranged% de dano se ataca à distância (Ranged)."
		"DOTA_Tooltip_ability_item_vanguard_Lore"								"Um poderoso escudo que defende o seu portador até do mais feroz dos ataques."
		"DOTA_Tooltip_ability_item_vanguard_Note0"								"Várias fontes de bloqueio de dano não se acumulam."
		"DOTA_Tooltip_ability_item_vanguard_bonus_health"						"+$health"
		"DOTA_Tooltip_ability_item_vanguard_bonus_health_regen"					"+$hp_regen"
		//"DOTA_Tooltip_ability_item_vanguard_block_damage_melee"					"BLOCK DAMAGE MELEE:"
		//"DOTA_Tooltip_ability_item_vanguard_block_damage_ranged"				"BLOCK DAMAGE RANGED:"
		//"DOTA_Tooltip_ability_item_vanguard_block_chance"						"BLOCK CHANCE:"
		
		"DOTA_Tooltip_ability_item_crimson_guard_Description"						"<h1>Habil. ativa: Guard</h1> Durante %duration% segundos, concede a edifícios e heróis aliados por perto uma probabilidade de %block_chance_active%%% de bloquear dano igual a %block_damage_active% + %max_hp_pct%%% do máximo de vida do portador deste item. <br>As unidades só podem ser afetadas por esta habilidade uma vez a cada %tooltip_reapply_time% segundos.<br><br>Raio: %bonus_aoe_radius%\n\n<h1>Efeito passivo: Damage Block</h1> Proporciona ao portador uma probabilidade de %block_chance%%% de bloquear %block_damage_melee% de dano de ataques se o portador for um herói que ataca corpo a corpo (Melee) ou %block_damage_ranged% de dano se ataca à distância (Ranged)."
		"DOTA_Tooltip_ability_item_crimson_guard_Lore"								"Uma armadura feita originalmente para servir de proteção contra o temível Monstro Temporal."
		"DOTA_Tooltip_ability_item_crimson_guard_bonus_health"						"+$health"
		"DOTA_Tooltip_ability_item_crimson_guard_bonus_health_regen"					"+$hp_regen"
		"DOTA_Tooltip_ability_item_crimson_guard_bonus_armor"					"+$armor"
		
		//"DOTA_Tooltip_ability_item_crimson_guard_block_damage_melee"			"BLOCK DAMAGE MELEE:"
		//"DOTA_Tooltip_ability_item_crimson_guard_block_damage_ranged"				"BLOCK DAMAGE RANGED:"		
		//"DOTA_Tooltip_ability_item_crimson_guard_block_chance"						"BLOCK CHANCE:"
		//"DOTA_Tooltip_ability_item_crimson_guard_bonus_aoe_armor"				"GUARD ARMOR:"	
		//"DOTA_Tooltip_ability_item_crimson_guard_block_damage_melee_active"				"GUARD DAMAGE BLOCK:"
		//"DOTA_Tooltip_ability_item_crimson_guard_duration"				"GUARD DURATION:"	
		//"DOTA_Tooltip_ability_item_crimson_guard_bonus_aoe_radius"				"GUARD RADIUS:"
		"DOTA_Tooltip_ability_item_crimson_guard_Note0"								"Várias fontes de bloqueio de dano não se acumulam."

		"DOTA_Tooltip_modifier_item_crimson_guard_aura"					"Bónus de Armadura de Crimson Guard"
		"DOTA_Tooltip_modifier_item_crimson_guard_aura_Description"		"Armadura aumentada em %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

		"DOTA_Tooltip_modifier_item_crimson_guard_effect"					"Crimson Guard - Bónus de armadura"
		"DOTA_Tooltip_modifier_item_crimson_guard_effect_Description"		"Armadura aumentada em %MODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

		"DOTA_Tooltip_modifier_item_crimson_guard_extra"		"Guard"
		"DOTA_Tooltip_modifier_item_crimson_guard_extra_Description"		"Com 100%% de probabilidade de bloquear %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% de dano de ataques de inimigos."
		"DOTA_Tooltip_modifier_item_crimson_guard_nostack"	"Cooldown - Guard"
		"DOTA_Tooltip_modifier_item_crimson_guard_nostack_Description"	"A habilidade ativa de Crimson Guard não afeta unidades que foram protegidas pela mesma recentemente."
		
		"DOTA_Tooltip_ability_item_vitality_booster_Lore"						"Um rubi que passou por várias gerações de guerreiros."
		"DOTA_Tooltip_ability_item_vitality_booster_bonus_health"				"+$health"
		
		"DOTA_Tooltip_ability_item_vladmir_Description"							"<h1>Efeito passivo: Vladmir's Aura</h1>%lifesteal_aura%%% do dano causado pelos ataques de aliados afetados por esta aura é convertido em vida. Este efeito tem menos %creep_lifesteal_reduction_pct%%% da eficácia se o alvo for um creep. A aura também proporciona mais %damage_aura%%% de dano, %mana_regen_aura% de regeneração de mana e %armor_aura% de armadura a aliados por perto. <br><br>Raio: %aura_radius%."
		"DOTA_Tooltip_ability_item_vladmir_Lore"								"Uma máscara misteriosa amaldiçoada com a malícia de um vampiro perecido."
		"DOTA_Tooltip_ability_item_vladmir_armor"								"+$armor"
		"DOTA_Tooltip_ability_item_vladmir_mana_regen"							"+$mana_regen"
		
		"DOTA_Tooltip_ability_item_wraith_pact_Description"							"<h1>Habil. ativa: Wraith's Reprisal</h1>Invoca um totem móvel na tua localização durante %abilityduration%s. O totem reduz em %damage_penalty_aura%%% todo o dano físico causado por inimigos dentro de um raio de %pact_aura_radius% e causa %aura_dps% de dano por segundo.<br><br>O totem emana Vladmir's Aura e pode ser destruído por 4 ataques de heróis ou por 8 ataques de creeps.\n\n<h1>Efeito passivo: Vladmir's Aura</h1>%lifesteal_aura%%% do dano causado pelos ataques de aliados afetados por esta aura é convertido em vida. Este efeito tem menos %creep_lifesteal_reduction_pct%%% da eficácia se o alvo for um creep. A aura também proporciona mais %damage_aura%%% de dano, %mana_regen_aura% de regeneração de mana e %armor_aura% de armadura a aliados por perto.<br><br>Raio: %aura_radius%."
		"DOTA_Tooltip_ability_item_wraith_pact_Lore"								"Um amuleto senciente cuja animosidade abala a coragem de até o mais forte dos adversários."
		"DOTA_Tooltip_ability_item_wraith_pact_bonus_health"						"+$health"
		"DOTA_Tooltip_ability_item_wraith_pact_bonus_mana"							"+$mana"

		"DOTA_Tooltip_modifier_item_wraith_pact_death_aura"							"Wraith's Reprisal"
		"DOTA_Tooltip_modifier_item_wraith_pact_death_aura_Description"				"A causar menos %dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%% do dano e a sofrer %dMODIFIER_PROPERTY_TOOLTIP% de dano por segundo."
		
		"DOTA_Tooltip_modifier_item_vladmir_aura"				"Aura de Vladmir"
		"DOTA_Tooltip_modifier_item_vladmir_aura_Description"	"A roubar vida com cada ataque (%dMODIFIER_PROPERTY_TOOLTIP%%%) e a receber um bónus de %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%% de dano, %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% de armadura e %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% de regeneração de mana."

		"DOTA_Tooltip_ability_item_void_stone_Lore"								"Joalharia que foi outrora utilizada para invocar magia do Submundo, este anel pulsa com energia."
		"DOTA_Tooltip_ability_item_void_stone_bonus_mana_regen"					"+$mana_regen"

		"DOTA_Tooltip_ability_item_tiara_of_selemene_Lore"								"Tiara!"
		"DOTA_Tooltip_ability_item_tiara_of_selemene_bonus_mana_regen"					"+$mana_regen"

		"DOTA_Tooltip_ability_item_ward_observer_Description"					"<h1>Uso: Posicionar ward</h1>Posiciona uma Observer Ward, um vigilante invisível que dá visão terrestre à tua equipa num raio de %vision_range_tooltip%. Dura %duration_minutes_tooltip% minutos. <br><br>Mantém premida a tecla Control para dares uma Observer Ward a um herói aliado."
		//"DOTA_Tooltip_ability_item_ward_observer_vision_range"				"VISION RANGE:"
		//"DOTA_Tooltip_ability_item_ward_observer_duration_minutes_tooltip"	"DURATION (MINUTES):"
		"DOTA_Tooltip_ability_item_ward_observer_Lore"							"Uma espécie de planta meio consciente, muitas vezes cultivada por aprendizes de feiticeiros."
		
		"DOTA_Tooltip_ability_item_ward_sentry_Description"						"<h1>Uso: Posicionar ward</h1> Posiciona uma Sentry Ward, um vigilante invisível que proporciona Visão Verdadeira (True Sight), a capacidade de ver unidades e wards inimigas invisíveis, a qualquer aliado num raio de %true_sight_range%.<br>Dura %duration_minutes_tooltip% minutos.<br><br>Não proporciona visão terrestre.<br>Mantém premida a tecla Control para dares uma Sentry Ward a um herói aliado."
		//"DOTA_Tooltip_ability_item_ward_sentry_true_sight_range"			"TRUE SIGHT RANGE:"
		//"DOTA_Tooltip_ability_item_ward_sentry_duration_minutes_tooltip"	"DURATION (MINUTES):"
		"DOTA_Tooltip_ability_item_ward_sentry_Lore"								"Uma espécie de planta originalmente cultivada no jardim de um rei cauteloso."
		
		"DOTA_Tooltip_ability_item_ward_dispenser_Description"						"<h1>Uso: Posicionar ward</h1> Posiciona a ward atualmente ativa. Clica duas vezes para alternares entre as wards atualmente ativas."
		"DOTA_Tooltip_ability_item_ward_dispenser_Note0"						"Mantém CTRL premido para dares uma ward a um herói aliado."
		"DOTA_Tooltip_ability_item_ward_dispenser_observer_vision_range_tooltip"		"RAIO DE VISÃO (OBSERVER):"
		"DOTA_Tooltip_ability_item_ward_dispenser_observer_duration_minutes_tooltip"	"DURAÇÃO EM MINUTOS (OBSERVER):"
		"DOTA_Tooltip_ability_item_ward_dispenser_true_sight_range"							"RAIO DE TRUE SIGHT (SENTRY):"
		"DOTA_Tooltip_ability_item_ward_dispenser_sentry_duration_minutes_tooltip"		"DURAÇÃO EM MINUTOS (SENTRY):"
		"DOTA_Tooltip_ability_item_ward_dispenser_Lore"						"Avanços no sistema de arrumação criaram o modo de transporte de wards mais ergonómico de sempre."
		
		"DOTA_Tooltip_ability_item_wraith_band_Description"					"Os bónus terão o dobro do valor a partir do %clock_time%.º minuto da partida."
		"DOTA_Tooltip_ability_item_wraith_band_Lore"							"Uma bracelete com sussuros débeis a soar à sua volta."
		"DOTA_Tooltip_ability_item_wraith_band_bonus_strength"					"+$str"
		"DOTA_Tooltip_ability_item_wraith_band_bonus_agility"					"+$agi"
		"DOTA_Tooltip_ability_item_wraith_band_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_wraith_band_bonus_attack_speed"				"+$attack"
		"DOTA_Tooltip_ability_item_wraith_band_bonus_armor"						"+$armor"

		"DOTA_Tooltip_ability_item_yasha_Lore"									"A Yasha é vista como a arma mais rápida alguma vez criada."	
		"DOTA_Tooltip_ability_item_yasha_Note0"							"Os bónus de rapidez de movimento provenientes de vários itens relacionados com a Yasha não se acumulam."	
		"DOTA_Tooltip_ability_item_yasha_bonus_agility"							"+$agi"
		"DOTA_Tooltip_ability_item_yasha_bonus_attack_speed"					"+$attack"
		"DOTA_Tooltip_ability_item_yasha_movement_speed_percent_bonus"			"%+$move_speed"
		
		"DOTA_Tooltip_ability_item_arcane_boots_Description"					"<h1>Habilidade ativa: Replenish Mana</h1>Restaura %replenish_amount% de mana a todos os aliados por perto.<br><br>Raio: %replenish_radius%\nBónus de rapidez de movimento provenientes de vários pares de botas não se acumulam.\n\n<h1>Efeito passivo: Basilius Aura</h1>Concede %aura_mana_regen% de regeneração de mana a aliados.  <br><br>Raio: %aura_radius%"
		"DOTA_Tooltip_ability_item_arcane_boots_Lore"						"Os magos equipados com estas botas são valiosos em batalha."
		"DOTA_Tooltip_ability_item_arcane_boots_Note0"							"Não funciona em clones do Meepo."
		"DOTA_Tooltip_ability_item_arcane_boots_bonus_movement"					"+$move_speed"
		"DOTA_Tooltip_ability_item_arcane_boots_mana_regen"						"+$mana_regen"	
		//"DOTA_Tooltip_ability_item_arcane_boots_replenish_amount"				"REPLENISH MANA RESTORE:"
		//"DOTA_Tooltip_ability_item_arcane_boots_replenish_radius"				"REPLENISH CAST RADIUS:"		

		"DOTA_Tooltip_ability_item_orb_of_venom_Description"					"<h1>Efeito passivo: Poison Attack</h1>Envenena o alvo, causando %poison_damage_melee% de dano mágico por segundo e reduzindo a rapidez de movimento em %poison_movement_speed_melee%%% se o herói portador atacar corpo a corpo (melee) ou %poison_movement_speed_range%%% se o herói portador atacar à distância (ranged). Dura %poison_duration% segundos."
		"DOTA_Tooltip_ability_item_orb_of_venom_Lore"							"Embebe a tua arma com o veneno de uma víbora venenosa."
		"DOTA_Tooltip_ability_item_orb_of_venom_Note0"                   		"Não se acumula com o efeito de itens semelhantes melhores."

